docket,name,term,decision_margin,kks_correct,courtcast_correct,mplus_correct
13-1032,DIRECT MKTG. ASS'N v. BROHL,2014,9.0,1,1,1
13-1034,MELLOULI v. LYNCH,2014,7.0,1,1,1
10-1542,"ERIC H. HOLDER, JR., ATTORNEY GENERAL, PETITIONER  v. CARLOS MARTINEZ GUTIERREZ",2011,9.0,1,1,1
04-1131,TERRY L. WHITMAN v. DEPARTMENT OF TRANSPORTATION et al.,2005,8.0,1,1,1
12-5196,LAW v. SIEGEL,2013,9.0,1,0,1
05-9222,"LONNIE LEE BURTON v. BELINDA STEWART, SUPERINTENDENT, STAFFORD CREEK CORRECTIONS CENTER",2006,9.0,0,0,1
08-295,"THE TRAVELERS INDEMNITY COMPANY, et al. v. PEARLIE BAILEY et al.",2008,7.0,1,0,1
07-772,"DOUG WADDINGTON, SUPERINTENDENT, WASHINGTON CORRECTIONS CENTER v. CESAR SARAUSAD",2008,6.0,1,0,1
07-773,BETTY E. VADEN v. DISCOVER BANK et al.,2008,5.0,1,1,1
05-200,"EMPIRE HEALTHCHOICE ASSURANCE, INC., DBA EMPIRE BLUE CROSS BLUE SHIELD v. DENISE F. MCVEIGH, AS ADMINISTRATRIX OF THE ESTATE OF JOSEPH E. MCVEIGH",2005,5.0,0,0,0
06-618,OFFICE OF SENATOR MARK DAYTON v. BRAD HANSON,2006,8.0,1,1,0
09-338,"PAUL RENICO, WARDEN v. REGINALD LETT",2009,6.0,1,1,1
13-6827,HOLT v. HOBBS,2014,9.0,1,1,1
04-1506,"ARKANSAS DEPARTMENT OF HEALTH AND HUMAN SERVICES, et al. v. HEIDI AHLBORN",2005,9.0,0,0,0
06-6407,"SCOTT LOUIS PANETTI v. NATHANIEL QUARTERMAN, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION",2006,5.0,1,1,1
12-236,"KATHLEEN SEBELIUS, SECRETARY OF HEALTH AND HUMAN SERVICES, PETITIONER v. MELISSA CLOER",2012,9.0,1,1,0
10-1399,"DANA ROBERTS, PETITIONER v. SEA-LAND SERVICES, INC., et al.",2011,8.0,1,0,0
05-11284,"JALIL ABDUL-KABIR, FKA TED CALVIN COLE v. NATHANIEL QUARTERMAN, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION",2006,5.0,1,1,1
06-8120,BRUCE EDWARD BRENDLIN v. CALIFORNIA,2006,9.0,1,1,1
12-729,HEIMESHOFF v. HARTFORD LIFE & ACCIDENT INS. CO.,2013,9.0,1,0,0
12-484,"UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER, PETITIONER v. NAIEL NASSAR",2012,5.0,1,1,1
07-1309,EDMUND BOYLE v. UNITED STATES,2008,7.0,1,0,0
06-571,MICHAEL A. WATSON v. UNITED STATES,2007,9.0,1,1,0
10-5443,"CHARLES ANDREW FOWLER, AKA MAN, PETITIONER v. UNITED STATES",2010,7.0,1,1,1
08-681,"JEAN MARC NKEN v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",2008,7.0,1,1,0
08-680,"MARYLAND v. MICHAEL BLAINE SHATZER, SR.",2009,9.0,1,1,1
12-71,"ARIZONA, et al., PETITIONERS v. THE INTER TRIBAL COUNCIL OF ARIZONA, INC., et al.",2012,7.0,1,0,0
13-719,"DART CHEROKEE BASIN OPERATING CO., LLC v. OWENS",2014,5.0,1,1,1
12-79,CHADBOURNE & PARKE LLP v. TROICE,2013,7.0,0,0,0
10-5400,"ALEJANDRA TAPIA, PETITIONER v. UNITED STATES",2010,9.0,1,1,1
13-975,"T–MOBILE SOUTH, LLC V.CITY OF ROSWELL, GEORGIA.",2014,6.0,1,1,1
08-1448,"EDMUND G. BROWN, JR., GOVERNOR OF CALIFORNIA, et al., PETITIONERS v. ENTERTAINMENT MERCHANTS ASSOCIATION, et al.",2010,7.0,1,0,0
08-205,CITIZENS UNITED v. FEDERAL ELECTION COMMISSION,2009,5.0,1,1,1
04-944,"JENIFER ARBAUGH v. Y & H CORPORATION, DBA THE MOONLIGHT CAFE",2005,8.0,1,1,1
08-1569,UNITED STATES v. MARTIN O'BRIEN AND ARTHUR BURGESS,2009,9.0,0,1,0
06-989,"HALL STREET ASSOCIATES, L.L.C. v. MATTEL, INC",2007,6.0,0,0,1
05-1284,"LISA WATSON, et al. v. PHILIP MORRIS COMPANIES, INC., et al.",2006,9.0,1,1,1
05-416,"JEANNE S. WOODFORD, et al. v. VIET MIKE NGO",2005,6.0,1,1,1
08-6,"DISTRICT ATTORNEY'S OFFICE FOR THE THIRD JUDICIAL DISTRICT, et al. v. WILLIAM G. OSBORNE",2008,5.0,1,1,1
06-984,MEDELLIN v. TEXAS,2007,6.0,0,0,0
09-559,"JOHN DOE #1, et al. v. SAM REED, WASHINGTON SECRETARY OF STATE, et al.",2009,8.0,1,1,0
12-158,BOND v. UNITED STATES,2013,9.0,1,1,1
11-626,"FANE LOZMAN, PETITIONER v. THE CITY OF RIVIERA BEACH, FLORIDA",2012,7.0,0,0,1
08-876,"CONRAD M. BLACK, JOHN A. BOULTBEE, AND MARK S. KIPNIS v. UNITED STATES",2009,9.0,1,1,1
08-1214,GRANITE ROCK COMPANY v. INTERNATIONAL BROTHERHOOD OF TEAMSTERS et al.,2009,7.0,0,0,1
08-970,"SONNY PERDUE, GOVERNOR OF GEORGIA, et al. v. KENNY A., BY HIS NEXT FRIEND LINDA WINN, et al.",2009,5.0,1,1,1
13-9972,RODRIGUEZ v. UNITED STATES,2014,6.0,1,1,1
08-974,"ARTHUR L. LEWIS, JR., et al. v. CITY OF CHICAGO, ILLINOIS",2009,9.0,1,1,1
09-1498,"UNITED STATES, PETITIONER v. JASON LOUIS TINKLENBERG",2010,8.0,0,1,0
12-1408,"UNITED STATES v. QUALITY STORES, INC., et al.",2013,8.0,1,1,1
11-1059,"GENESIS HEALTHCARE CORPORATION, et al., PETITIONERS v. LAURA SYMCZYK",2012,5.0,1,1,1
11-199,"ALEXANDER VASQUEZ, PETITIONER v. UNITED STATES.",2011,9.0,0,0,0
04-885,"CENTRAL VIRGINIA COMMUNITY COLLEGE, et al. v. BERNARD KATZ, LIQUIDATING SUPERVISOR FOR WALLACE'S BOOKSTORES, INC.",2005,5.0,0,0,0
11-1118,"JERRY W. GUNN, et al., PETITIONERS v. VERNON F. MINTON",2012,9.0,1,1,1
04-881,JAMES LOCKHART v. UNITED STATES et al.,2005,9.0,1,0,0
08-660,"UNITED STATES ex rel. IRWIN EISENSTEIN v. CITY OF NEW YORK, NEW YORK, et al.",2008,9.0,1,0,0
11-192,"UNITED STATES, PETITIONER v. JAMES X. BORMES",2012,9.0,1,1,1
07-552,"SPRINT COMMUNS. CO., L.P. v. APCC SERVS.",2007,5.0,1,0,0
07-984,"COEUR ALASKA, INC. v. SOUTHEAST ALASKA CONSERVATION COUNCIL et al.",2008,6.0,1,1,1
12-992,RAY HALUCH GRAVEL CO. v. CENT. PENSION FUND OF INT'L UNION OF OPERATING ENG'RS,2013,9.0,1,1,1
08-472,"KEN L. SALAZAR, SECRETARY OF THE INTERIOR, et al. v. FRANK BUONO",2009,5.0,1,1,1
09-751,"ALBERT SNYDER, PETITIONER v. FRED W. PHELPS, SR., et al.",2010,8.0,0,1,0
07-411,PLAINS COMMERCE BANK v. LONG FAMILY LAND & CATTLE CO.,2007,5.0,1,0,1
09-529,"VIRGINIA OFFICE FOR PROTECTION AND ADVOCACY, PETITIONER v. JAMES W. STEWART III, COMMISSIONER, VIRGINIA DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL SERVICES, et al.",2010,6.0,1,1,1
08-479,"SAFFORD UNIFIED SCHOOL DISTRICT #1, et al.v. APRIL REDDING",2008,8.0,1,1,1
12-1117,PLUMHOFF v. RICKARD,2013,9.0,1,1,1
10-1024,"FEDERAL AVIATION ADMINISTRATION, et al., PETITIONERS v. STANMORE CAWTHON COOPER",2011,5.0,1,1,1
09-1205,"KEITH SMITH, et al., PETITIONERS v. BAYER CORPORATION",2010,9.0,1,1,1
10-238,"ARIZONA FREE ENTERPRISE CLUB'S FREEDOM CLUB PAC, et al., PETITIONERS v. KEN BENNETT, IN HIS OFFICIAL CAPACITY AS ARIZONA SECRETARY OF STATE, et al.",2010,5.0,1,0,1
05-669,"BP AMERICA PRODUCTION COMPANY, SUCCESSOR IN INTEREST TO AMOCO PRODUCTION COMPANY, et al. v. REJANE BURTON, ACTING ASSISTANT SECRETARY, LAND AND MINERALS MANAGEMENT, DEPARTMENT OF THE INTERIOR, et al.",2006,7.0,0,1,0
06-43,"STONERIDGE INVESTMENT PARTNERS, LLC v. SCIENTIFIC-ATLANTA, INC., ET AL",2007,5.0,1,0,0
05-465,"MOHAWK INDUSTRIES, INC. v. SHIRLEY WILLIAMS et al.",2005,9.0,1,1,1
08-1134,"UNITED STUDENT AID FUNDS, INC. v. FRANCISCO J. ESPINOSA",2009,9.0,0,0,0
05-705,"GLOBAL CROSSING TELECOMMUNICATIONS, INC. v. METROPHONES TELECOMMUNICATIONS, INC.",2006,7.0,0,1,0
14-103,"BAKER BOTTS, L.L.P., v. ASARCO, L.L.C.",2014,6.0,1,0,0
10-577,"AKIO KAWASHIMA, ET UX., PETITIONERS v. ERIC H. HOLDER, JR., ATTORNEY GENERAL.",2011,6.0,0,0,0
05-1589,"GARY DAVENPORT, et al. v. WASHINGTON EDUCATION ASSOCIATION",2006,9.0,1,1,1
05-5224,ADRIAN MARTELL DAVIS v. WASHINGTON,2005,9.0,0,1,0
11-713,"RICK PERRY, GOVERNOR OF TEXAS, et al., APPELLANTS v. SHANNON PEREZ et al.",2011,9.0,0,1,1
13-628,ZIVOTOFSKY v. KERRY,2014,6.0,0,0,0
06-593,"LONG ISLAND CARE AT HOME, LTD., et al. v. EVELYN COKE",2006,9.0,1,1,1
12-1184,"OCTANE FITNESS, LLC v. ICON HEALTH & FITNESS, INC.",2013,9.0,1,1,1
07-308,UNITED STATES v. CLINTWOOD ELKHORN MINING COMPANY ET AL,2007,9.0,1,1,1
10-76,"GOODYEAR DUNLOP TIRES OPERATIONS, S.A., et al., PETITIONERS v. EDGAR D. BROWN, ET UX., CO-ADMINISTRATORS OF THE ESTATE OF JULIAN DAVID BROWN, et al.",2010,9.0,1,1,1
11-246,MATCH-E-BE-NASH-SHE-WISH BAND OF POTTAWATOMI INDIANS v. PATCHAK,2011,8.0,1,0,0
12-574,WALDEN v. FIORE,2013,9.0,1,1,1
13-1010,"M&G POLYMERS USA, LLC v. TACKETT",2014,9.0,1,1,1
"137, Orig.","STATE OF MONTANA, PLAINTIFF v. STATE OF WYOMING AND STATE OF NORTH DAKOTA",2010,7.0,1,1,0
06-10119,ALLEN SNYDER v. LOUISIANA,2007,7.0,1,1,1
05-848,"ENVIRONMENTAL DEFENSE, et al. v. DUKE ENERGY CORPORATION, et al.",2006,9.0,1,1,1
13-271,"ONEOK, INC., v. LEARJET, INC.",2014,7.0,1,0,0
12-462,"NORTHWEST, INC. v. GINSBERG",2013,9.0,1,1,1
06-157,"JAY F. HEIN, DIRECTOR, WHITE HOUSE OFFICE OF FAITH-BASED AND COMMUNITY INITIATIVES, et al. v. FREEDOM FROM RELIGION FOUNDATION, INC., et al.",2006,5.0,1,1,1
14-86,"EQUAL EMPLOYMENT OPPORTUNITY COMMISSION v. ABERCROMBIE & FITCH STORES, INC.",2014,8.0,0,1,1
04-1544,VICKIE LYNN MARSHALL v. E. PIERCE MARSHALL,2005,9.0,0,1,1
07-9995,MICHAEL RIVERA v. ILLINOIS,2008,9.0,1,0,0
06-11429,KEITH LAVON BURGESS v. UNITED STATES,2007,9.0,1,1,1
12-9490,PRADO NAVARETTE v. CALIFORNIA,2013,5.0,0,0,0
10-875,"LYNWOOD D. HALL, ET UX., PETITIONERS v. UNITED STATES",2011,5.0,1,1,0
07-6053,GILES v. CALIFORNIA,2007,6.0,0,0,1
07-1437,"CARLSBAD TECHNOLOGY, INC. v. HIF BIO, INC., et al.",2008,9.0,1,1,1
04-1264,"BUCKEYE CHECK CASHING, INC. v. JOHN CARDEGNA et al.",2005,7.0,1,1,1
10-879,"GLORIA GAIL KURNS, EXECUTRIX OF THE ESTATE OF GEORGE M. CORSON, DECEASED, et al., PETITIONERS v. RAILROAD FRICTION PRODUCTS CORPORATION et al.",2011,6.0,0,0,0
08-728,TAYLOR JAMES BLOATE v. UNITED STATES,2009,7.0,0,1,0
08-1008,"SHADY GROVE ORTHOPEDIC ASSOCIATES, P. A. v. ALLSTATE INSURANCE COMPANY",2009,5.0,1,1,1
08-1555,MOHAMED ALI SAMANTAR v. BASHE ABDI YOUSUF et al.,2009,9.0,0,1,0
08-724,"KEITH SMITH, WARDEN v. FRANK G. SPISAK, JR.",2009,9.0,1,1,1
10-1320,"ALEX BLUEFORD, PETITIONER v. ARKANSAS",2011,6.0,1,1,0
13-301,UNITED STATES v. CLARKE,2013,9.0,0,0,1
04-8990,"PAUL GREGORY HOUSE v. RICKY BELL, WARDEN",2005,5.0,1,1,1
07-21,"WILLIAM CRAWFORD, et al., Petitioners v. MARION COUNTY ELECTION BOARD et al.",2007,6.0,1,0,0
05-1126,"BELL ATLANTIC CORPORATION, et al. V.WILLIAM TWOMBLY, et al.",2006,7.0,1,1,1
05-1120,"MASSACHUSETTS, et al. v. ENVIRONMENTAL PROTECTION AGENCY et al.",2006,5.0,1,1,1
12-929,ATLANTIC MARINE CONSTR. CO. v. UNITED STATES DIST. COURT FOR WESTERN DIST. OF TEX.,2013,9.0,1,1,1
07-1223,"EDWARD NATHANIEL BELL v. LORETTA K. KELLY, WARDEN",2008,9.0,1,0,1
07-608,UNITED STATES v. RANDY EDWARD HAYES,2008,7.0,1,1,1
04-905,"VOLVO TRUCKS NORTH AMERICA, INC. v. REEDER-SIMCO GMC, INC.",2005,7.0,1,1,1
10-704,"CURT MESSERSCHMIDT et al., PETITIONERS v. BRENDA MILLENDER, AS EXECUTOR OF THE ESTATE OF AUGUSTA MILLENDER, DECEASED, et al.",2011,6.0,1,1,1
05-998,UNITED STATES v. JUAN RESENDIZ-PONCE,2006,8.0,1,1,1
08-1529,"ESTHER HUI, et al. v. YANIRA CASTANEDA, AS PERSONAL REPRESENTATIVE OF THE ESTATE OF FRANCISCO CASTANEDA, et al.",2009,9.0,1,1,1
11-9335,"ALLEN RYAN ALLEYNE, PETITIONER v. UNITED STATES",2012,5.0,1,1,0
08-1521,"OTIS MCDONALD, et al. v. CITY OF CHICAGO, ILLINOIS, et al.",2009,5.0,1,1,1
05-996,"ROBERT LOUIS MARRAMA v. CITIZENS BANK OF MASSACHUSETTS, et al.",2006,5.0,1,1,0
08-651,JOSE PADILLA v. KENTUCKY,2009,7.0,1,1,1
07-210,"JOHN BRIDGE, et al. v. PHOENIX BOND & INDEMNITY CO. ET AL",2007,9.0,1,1,0
04-759,"UNITED STATES v. JOSEPH OLSON, et al.",2005,9.0,1,1,1
10-277,"WAL-MART STORES, INC., PETITIONER v. BETTY DUKES et al.",2010,5.0,1,1,1
06-376,"JOHN F. HINCK, ET UX. v. UNITED STATES",2006,9.0,0,0,1
12-96,SHELBY COUNTY v. HOLDER,2012,5.0,1,0,1
04-698,"SCHAFFER, A MINOR, BY HIS PARENTS AND NEXT FRIENDS, SCHAFFER, ET VIR, et al. v. WEAST, SUPERINTENDENT, MONTGOMERY COUNTY PUBLIC SCHOOLS, et al.",2005,6.0,1,0,0
06-278,"DEBORAH MORSE, et al. v. JOSEPH FREDERICK",2006,5.0,1,1,1
12-751,FIFTH THIRD BANCORP v. DUDENHOEFFER,2013,9.0,1,1,1
10-8505,WILLIAMS v. ILLINOIS,2011,5.0,0,1,0
13-1211,"HANA FINANCIAL, INC. v. HANA BANK",2014,9.0,1,1,0
"132, Orig.","STATE OF ALABAMA, et al., PLAINTIFFS v. STATE OF NORTH CAROLINA.",2009,6.0,1,1,0
09-1159,"BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY, PETITIONER v. ROCHE MOLECULAR SYSTEMS, INC., et al.",2010,7.0,0,0,0
12-167,"UNITED STATES, PETITIONER v. ANTHONY DAVILA",2012,9.0,1,1,1
08-1314,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",2010,8.0,1,1,1
06-939,CHAMBER OF COMMERCE OF THE UNITED STATES v. BROWN,2007,7.0,1,1,1
07-512,"PACIFIC BELL TELEPHONE COMPANY, DBA AT&T CALIFORNIA et al. v. LINKLINE COMMUNICATIONS, INC., et al.",2008,9.0,1,1,1
07-513,BENNIE DEAN HERRING v. UNITED STATES,2008,5.0,1,0,1
05-1631,TIMOTHY SCOTT v. VICTOR HARRIS,2006,8.0,1,1,1
06-427,TENNESSEE SECONDARY SCHOOL ATHLETIC ASSOCIATION v. BRENTWOOD ACADEMY,2006,9.0,1,1,1
06-937,"QUANTA COMPUTER, INC., et al. v. LG ELECTRONICS, INC.",2007,9.0,1,1,1
09-993,"PLIVIA, INC., et al., PETITIONERS v. GLADYS MENSING",2010,5.0,0,0,1
12-682,SCHUETTE v. COALITION TO DEFEND AFFIRMATIVE ACTION,2013,6.0,1,1,1
04-623,"ALBERTO R. GONZALES, ATTORNEY GENERAL, et al. v. OREGON, et al.",2005,6.0,0,0,0
05-204,"LEAGUE OF UNITED LATIN AMERICAN CITIZENS, et al. v. RICK PERRY, GOVERNOR OF TEXAS, et al.",2005,5.0,0,0,1
08-1175,FLORIDA v. KEVIN DEWAYNE POWELL,2009,7.0,1,1,1
05-11304,LAROYCE LATHAIR SMITH v. TEXAS,2006,5.0,1,1,1
04-473,"GIL GARCETTI, et al. v. RICHARD CEBALLOS",2005,5.0,1,1,1
09-350,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",2010,8.0,1,1,1
05-746,NORFOLK SOUTHERN RAILWAY COMPANY v. TIMOTHY SORRELL,2006,9.0,1,1,1
09-291,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",2010,8.0,1,1,1
06-5247,"JOHN FRANCIS FRY v. CHERYL K. PLILER, WARDEN",2006,5.0,1,1,0
10-1472,"KOUICHI TANIGUCHI, PETITIONER v. KAN PACIFIC SAIPAN, LTD., DBA MARIANAS RESORT AND SPA",2011,6.0,1,1,1
08-905,"MERCK & CO., INC., et al. v. RICHARD REYNOLDS et al.",2009,9.0,1,1,0
09-846,"UNITED STATES, PETITIONER v. TOHONO O'ODHAM NATION",2010,7.0,1,1,1
13-517,WARGER v. SHAUERS,2014,9.0,1,1,0
06-7949,BRIAN MICHAEL GALL v. UNITED STATES,2007,7.0,1,0,1
12-8561,PAROLINE v. UNITED STATES,2013,5.0,1,1,1
10-209,"BLAINE LAFLER, PETITIONER v. ANTHONY COOPER",2011,5.0,1,1,1
11-166,"RADLAX GATEWAY HOTEL, LLC, et al. v. AMALGAMATED BANK",2011,8.0,1,1,0
11-1025,"JAMES R. CLAPPER, JR., DIRECTOR OF NATIONAL INTELLIGENCE, et al., PETITIONERS v. AMNESTY INTERNATIONAL USA et al.",2012,5.0,0,1,1
11-161,"CHRISTINE ARMOUR, et al., PETITIONERS v. CITY OF INDIANAPOLIS, INDIANA, et al.",2011,6.0,0,0,0
10-637,"ERIC GREENE, AKA JARMAINE Q. TRICE v. JON FISHER, SUPERINTENDENT, STATE CORRECTIONAL INSTITUTION AT SMITHFIELD, et al.",2011,9.0,0,0,0
10-6549,"BILLY JOE REYNOLDS, PETITIONER v. UNITED STATES",2011,7.0,1,1,0
08-67,F. SCOTT YEAGER v. UNITED STATES,2008,6.0,1,1,0
08-5274,CHRISTOPHER MICHAEL DEAN v. UNITED STATES,2008,7.0,1,0,0
11-770,"CHUNON L. BAILEY, AKA POLO, PETITIONER v. UNITED STATES",2012,6.0,1,1,1
09-907,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",2010,8.0,1,1,0
07-463,PRISCILLA SUMMERS et al. v. EARTH ISLAND INSTITUTE et al.,2008,5.0,1,1,0
13-483,LANE v. FRANKS,2013,9.0,1,1,1
07-343,KENNEDY v. LOUISIANA,2007,5.0,1,0,0
